,country_ID,Year,Value
687,116,1996,14.8
688,117,1996,3.0
689,118,1996,1.7
690,119,1996,8.2
691,120,1996,53.4
692,121,1996,1.2
693,122,1996,11.3
694,123,1996,19.4
695,124,1996,13.8
696,125,1996,2.1
697,126,1996,3.2
698,127,1996,34.6
699,128,1996,14.2
700,129,1996,15.5
701,130,1996,3.2
702,131,1996,42.8
703,132,1996,12.7
704,133,1996,11.8
705,134,1996,10.5
706,135,1996,12.2
707,136,1996,2.7
708,137,1996,16.4
709,138,1996,12.0
710,139,1996,24.1
711,140,1996,2.5
712,141,1996,13.4
713,173,1996,15.9
714,142,1996,15.0
715,143,1996,18.3
716,144,1996,1.7
717,145,1996,12.8
718,146,1996,11.4
719,147,1996,12.8
720,148,1996,34.0
721,150,1996,5.0
722,151,1996,23.5
723,152,1996,3.9
724,153,1996,14.2
725,154,1996,7.6
726,155,1996,3.7
727,156,1996,4.1
728,157,1996,14.5
729,158,1996,14.0
730,159,1996,11.7
731,160,1996,3.4
732,161,1996,17.6
733,163,1996,17.0
734,164,1996,1.7
735,165,1996,3.6
736,166,1996,17.2
737,168,1996,13.2
738,169,1996,12.5
739,170,1996,16.3
740,171,1996,7.2
741,172,1996,3.0
742,174,1996,1.0
743,175,1996,3.3
744,177,1996,34.2
745,178,1996,8.9
746,179,1996,16.2
747,180,1996,20.0
748,181,1996,9.7
749,182,1996,36.2
750,183,1996,2.0
751,184,1996,18.1
752,185,1996,20.1
753,186,1996,16.6
754,187,1996,3.1
755,188,1996,22.6
756,189,1996,18.9
757,190,1996,8.7
758,191,1996,13.6
759,192,1996,17.8
760,193,1996,0.5
761,194,1996,7.3
762,195,1996,3.8
763,196,1996,9.2
764,1,1997,1.9
765,2,1997,12.0
766,3,1997,15.8
767,4,1997,21.5
768,5,1997,3.1
769,6,1997,11.7
770,7,1997,19.5
771,8,1997,13.3
772,9,1997,18.6
773,10,1997,12.9
774,11,1997,11.7
775,12,1997,22.4
776,13,1997,21.7
777,14,1997,1.1
778,15,1997,13.8
779,16,1997,17.9
780,17,1997,16.1
781,18,1997,15.0
782,19,1997,4.4
783,20,1997,2.0
784,21,1997,12.0
785,22,1997,11.8
786,23,1997,11.8
787,24,1997,13.1
788,25,1997,6.2
789,26,1997,17.6
790,27,1997,1.8
791,28,1997,2.1
792,46,1997,4.3
793,29,1997,5.5
794,30,1997,1.2
795,31,1997,5.1
796,32,1997,18.7
797,33,1997,3.5
798,34,1997,2.5
799,35,1997,19.3
800,36,1997,1.9
801,37,1997,14.2
802,38,1997,3.7
803,39,1997,4.6
804,40,1997,42.5
805,41,1997,13.2
806,42,1997,16.5
807,43,1997,16.1
808,44,1997,15.3
809,45,1997,20.3
810,47,1997,3.7
811,48,1997,2.7
812,49,1997,13.1
813,50,1997,8.7
814,51,1997,18.0
815,52,1997,14.4
816,53,1997,12.0
817,54,1997,20.7
818,55,1997,13.9
819,56,1997,3.8
820,57,1997,1.9
821,58,1997,16.9
822,167,1997,9.8
823,59,1997,1.7
824,61,1997,19.3
825,62,1997,15.2
826,63,1997,14.8
827,64,1997,8.2
828,65,1997,4.0
829,66,1997,12.8
830,67,1997,15.2
831,68,1997,4.7
832,69,1997,17.4
833,70,1997,12.1
834,71,1997,11.6
835,72,1997,3.2
836,73,1997,3.6
837,74,1997,10.7
838,75,1997,9.5
839,76,1997,11.3
840,77,1997,18.7
841,78,1997,15.0
842,79,1997,1.4
843,80,1997,2.1
844,81,1997,15.1
845,82,1997,21.1
846,83,1997,14.4
847,84,1997,20.1
848,85,1997,14.1
849,86,1997,14.6
850,87,1997,1.9
851,88,1997,24.6
852,89,1997,12.9
853,90,1997,2.8
854,91,1997,32.1
855,92,1997,28.2
856,93,1997,8.8
857,94,1997,1.4
858,95,1997,18.7
859,96,1997,23.3
860,97,1997,8.8
861,98,1997,5.3
862,99,1997,22.2
863,100,1997,20.9
864,101,1997,14.7
865,102,1997,2.0
866,103,1997,2.2
867,104,1997,5.8
868,105,1997,2.5
869,106,1997,3.2
870,107,1997,22.0
871,108,1997,41.8
872,109,1997,5.8
873,110,1997,6.2
874,111,1997,19.4
875,112,1997,32.9
876,114,1997,10.7
877,115,1997,14.7
878,116,1997,15.3
879,117,1997,3.2
880,118,1997,1.8
881,119,1997,8.5
882,120,1997,53.8
883,121,1997,1.3
884,122,1997,11.7
885,123,1997,19.9
886,124,1997,14.3
887,125,1997,2.2
888,126,1997,3.4
889,127,1997,35.3
890,128,1997,14.6
891,129,1997,16.2
892,130,1997,3.4
893,131,1997,43.4
894,132,1997,13.2
895,133,1997,12.2
896,134,1997,11.0
897,135,1997,12.5
898,136,1997,2.9
899,137,1997,16.7
900,138,1997,12.4
901,139,1997,24.7
902,140,1997,2.6
903,141,1997,13.6
904,173,1997,16.2
905,142,1997,15.3
906,143,1997,18.5
907,144,1997,1.9
908,145,1997,13.2
909,146,1997,11.8
910,147,1997,13.2
911,148,1997,34.7
912,150,1997,5.3
913,151,1997,24.2
914,152,1997,4.1
915,153,1997,14.5
916,154,1997,7.9
917,155,1997,3.9
918,156,1997,4.2
919,157,1997,14.7
920,158,1997,14.3
921,159,1997,12.2
922,160,1997,3.6
923,161,1997,18.2
924,163,1997,17.3
925,164,1997,1.8
926,165,1997,2.7
927,166,1997,17.6
928,168,1997,13.5
929,169,1997,12.9
930,170,1997,16.7
931,171,1997,7.4
932,172,1997,3.2
933,174,1997,1.1
934,175,1997,3.5
935,177,1997,34.9
936,178,1997,9.3
937,179,1997,16.7
938,180,1997,20.5
939,181,1997,10.0
940,182,1997,37.0
941,183,1997,2.1
942,184,1997,18.4
943,185,1997,20.5
944,186,1997,17.1
945,187,1997,3.3
946,188,1997,23.3
947,189,1997,19.3
948,190,1997,8.9
949,191,1997,14.1
950,192,1997,18.2
951,193,1997,0.5
952,194,1997,7.7
953,195,1997,3.9
954,196,1997,9.5
955,1,1998,2.1
956,2,1998,12.4
957,3,1998,16.3
958,4,1998,21.7
959,5,1998,3.2
960,6,1998,12.0
961,7,1998,19.9
962,8,1998,13.6
963,9,1998,19.1
964,10,1998,13.3
965,11,1998,11.9
966,12,1998,22.9
967,13,1998,22.1
968,14,1998,1.2
969,15,1998,14.2
970,16,1998,18.2
971,17,1998,16.4
972,18,1998,15.5
973,19,1998,4.6
974,20,1998,2.1
975,21,1998,12.4
976,22,1998,12.0
977,23,1998,12.2
978,24,1998,13.6
979,25,1998,6.5
980,26,1998,17.9
981,27,1998,1.9
982,28,1998,2.2
983,46,1998,4.5
984,29,1998,5.7
985,30,1998,1.3
986,31,1998,5.3
987,32,1998,19.3
988,33,1998,3.6
989,34,1998,2.7
990,35,1998,19.7
991,36,1998,2.1
992,37,1998,14.6
993,38,1998,3.8
994,39,1998,4.8
995,40,1998,43.3
996,41,1998,13.7
997,42,1998,16.9
998,43,1998,16.5
999,44,1998,15.7
1000,45,1998,20.5
1001,47,1998,3.8
1002,48,1998,2.8
1003,49,1998,13.4
1004,50,1998,8.9
1005,51,1998,18.5
1006,52,1998,14.9
1007,53,1998,12.4
1008,54,1998,21.2
1009,55,1998,14.4
1010,56,1998,3.9
1011,57,1998,2.0
1012,58,1998,17.0
1013,167,1998,10.1
1014,59,1998,1.7
1015,61,1998,19.9
1016,62,1998,15.6
1017,63,1998,15.1
1018,64,1998,8.6
1019,65,1998,4.2
1020,66,1998,13.1
1021,67,1998,15.6
1022,68,1998,4.9
1023,69,1998,17.8
1024,70,1998,12.6
1025,71,1998,12.1
1026,72,1998,3.4
1027,73,1998,3.8
1028,74,1998,11.1
1029,75,1998,10.0
1030,76,1998,11.7
1031,77,1998,19.0
1032,78,1998,15.3
1033,79,1998,1.5
1034,80,1998,2.2
1035,81,1998,15.6
1036,82,1998,21.4
1037,83,1998,14.9
1038,84,1998,20.4
1039,85,1998,14.4
1040,86,1998,15.0
1041,87,1998,1.9
1042,88,1998,25.2
1043,89,1998,13.3
1044,90,1998,2.9
1045,91,1998,33.0
1046,92,1998,28.7
1047,93,1998,9.1
1048,94,1998,1.5
1049,95,1998,18.9
1050,96,1998,23.7
1051,97,1998,9.2
1052,98,1998,5.4
1053,99,1998,22.6
1054,100,1998,21.2
1055,101,1998,15.1
1056,102,1998,2.1
1057,103,1998,2.4
1058,104,1998,6.2
1059,105,1998,2.6
1060,106,1998,3.4
1061,107,1998,22.4
1062,108,1998,42.5
1063,109,1998,6.1
1064,110,1998,6.4
1065,111,1998,19.9
1066,112,1998,33.5
1067,114,1998,11.0
1068,115,1998,15.1
1069,116,1998,15.8
1070,117,1998,3.3
1071,118,1998,1.9
1072,119,1998,8.8
1073,120,1998,54.3
1074,121,1998,1.4
1075,122,1998,12.2
1076,123,1998,20.4
1077,124,1998,14.7
1078,125,1998,2.3
1079,126,1998,3.6
1080,127,1998,36.0
1081,128,1998,15.1
1082,129,1998,16.8
1083,130,1998,3.5
1084,131,1998,44.0
1085,132,1998,13.7
1086,133,1998,12.5
1087,134,1998,11.4
1088,135,1998,12.9
1089,136,1998,3.0
1090,137,1998,17.0
1091,138,1998,12.8
1092,139,1998,25.2
1093,140,1998,2.7
1094,141,1998,13.8
1095,173,1998,16.5
1096,142,1998,15.6
1097,143,1998,18.7
1098,144,1998,2.0
1099,145,1998,13.6
1100,146,1998,12.1
1101,147,1998,13.7
1102,148,1998,35.3
1103,150,1998,5.6
1104,151,1998,25.0
1105,152,1998,4.3
1106,153,1998,14.8
1107,154,1998,8.1
1108,155,1998,4.0
1109,156,1998,4.3
1110,157,1998,15.0
1111,158,1998,14.5
1112,159,1998,12.6
1113,160,1998,3.8
1114,161,1998,18.7
1115,163,1998,17.6
1116,164,1998,1.9
1117,165,1998,3.7
1118,166,1998,18.1
1119,168,1998,13.9
1120,169,1998,13.2
1121,170,1998,17.2
1122,171,1998,7.5
1123,172,1998,3.3
1124,174,1998,1.2
1125,175,1998,3.7
1126,177,1998,35.6
